"1_levels_fasting_insulin_blood_branchedchain","2_acute_two_risk_pancreatitis_lymphoblastic","3_triglyceride_._levels_common,_lowfrequency,","4_cardiovascular_educational_age_menarche","5_alzheimer's_cardiovascular_event","6_plasma_levels_fatty_acid_polyunsaturated","7_cholesterol_lipoprotein_levels_hdl_lipid","8_pressure_blood_pathways_influence_cardiovascular","9_levels_urate_influence_serum_individuals","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"GCKR","FHIT","LPL","AGAP1","ANO3","FADS1","LPL","NPR3","RREB1","SELP","HBS1L","ABCG2","CETP","HDAC9","PLB1","OCRL","FGG","CHD9","PLA2G2A","PLA2G7","SCARB1","FHIT","BTD","RPAP2","SLC15A2","MAP3K14","ARHGEF3","CMC1"
,,,,,"FADS2","LIPC","CACNB2","PDZK1","APOE","PDE10A","APOB","APOE","C1GALT1","HERC1",,"LRAT","CPS1","PLA2G2E","APOE","PLA2G7","ANO3","GABRB1",,"SYK","CSF2RB","SAE1","DPYSL2"
,,,,,"PDXDC1","ALDH1A2","ATP2B1","ABCG2","MPO","C1GALT1","BCHE",,"EEFSEC","CDH11",,"DCHS2","FARP2","PLA2G5",,"SLC22A2",,,,"UBASH3B",,"NCF4",
,,,,,"ELOVL2","CETP","FES","SLC2A9","GNL1","HIBADH","SLC2A9",,"PKN2","EEFSEC",,,"PCCB","PLA2G2D",,"SLC22A3",,,,,,,
,,,,,"PKD2L1","ABCA1","ADRB1","SLC17A1","ABCB10","NPC1L1","LPL",,"ZDHHC18","BMP8A",,,"ARSA","PLA2G2F",,"APOE",,,,,,,
,,,,,"VCAN","APOA5","MTHFR","GCKR",,"DDX56","ALDH1A2",,"HTR4","FUT8",,,,,,"LPL",,,,,,,
,,,,,"DOCK7","LIPG","SLC39A8","SLC22A11",,"CADPS2","CETP",,,"RIN3",,,,,,"LDLR",,,,,,,
,,,,,"MINK1","DOCK6","GUCY1A1","POLE",,"AKR1B1","GCKR",,,,,,,,,,,,,,,,
,,,,,"PRKN","COPB1","MOV10","FGF4",,"AKR1B10","SLC17A4",,,,,,,,,,,,,,,,
,,,,,"GALNT16","GALNT2","NT5C2","FGF3",,"HIPK2","HFE",,,,,,,,,,,,,,,,
,,,,,"SLC22A5","RORA","FGF5","RERG",,"NOS3","TAGLN",,,,,,,,,,,,,,,,
,,,,,"TLR4","OAS3","PLCE1",,,"LPL","PCSK7",,,,,,,,,,,,,,,,
,,,,,"CDK18","ABCB11","AMPD3",,,"DPYSL2","LDLR",,,,,,,,,,,,,,,,
,,,,,"EEFSEC",,"SLC39A12",,,"WRN",,,,,,,,,,,,,,,,,
,,,,,"GJA1",,"HFE",,,"NCALD",,,,,,,,,,,,,,,,,
,,,,,"CERS4",,,,,"CYP11B2",,,,,,,,,,,,,,,,,
,,,,,,,,,,"FREM1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"DBH",,,,,,,,,,,,,,,,,
,,,,,,,,,,"CACNB2",,,,,,,,,,,,,,,,,
,,,,,,,,,,"ADO",,,,,,,,,,,,,,,,,
,,,,,,,,,,"ADK",,,,,,,,,,,,,,,,,
,,,,,,,,,,"PLCE1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"PKD2L1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"NT5C2",,,,,,,,,,,,,,,,,
,,,,,,,,,,"ADRB1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"INPP5A",,,,,,,,,,,,,,,,,
,,,,,,,,,,"SWAP70",,,,,,,,,,,,,,,,,
,,,,,,,,,,"HSD17B12",,,,,,,,,,,,,,,,,
,,,,,,,,,,"GLYAT",,,,,,,,,,,,,,,,,
,,,,,,,,,,"ALG9",,,,,,,,,,,,,,,,,
,,,,,,,,,,"UBASH3B",,,,,,,,,,,,,,,,,
,,,,,,,,,,"VDR",,,,,,,,,,,,,,,,,
,,,,,,,,,,"DDX23",,,,,,,,,,,,,,,,,
,,,,,,,,,,"ATP2B1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"KDM2B",,,,,,,,,,,,,,,,,
,,,,,,,,,,"SLC7A1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"RXFP2",,,,,,,,,,,,,,,,,
,,,,,,,,,,"MCF2L",,,,,,,,,,,,,,,,,
,,,,,,,,,,"SOS2",,,,,,,,,,,,,,,,,
,,,,,,,,,,"MARK3",,,,,,,,,,,,,,,,,
,,,,,,,,,,"CKB",,,,,,,,,,,,,,,,,
,,,,,,,,,,"RORA",,,,,,,,,,,,,,,,,
,,,,,,,,,,"CYP1A2",,,,,,,,,,,,,,,,,
,,,,,,,,,,"FES",,,,,,,,,,,,,,,,,
,,,,,,,,,,"SLC9A3R2",,,,,,,,,,,,,,,,,
,,,,,,,,,,"ADCY9",,,,,,,,,,,,,,,,,
,,,,,,,,,,"NPR1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"AGT",,,,,,,,,,,,,,,,,
,,,,,,,,,,"APOB",,,,,,,,,,,,,,,,,
,,,,,,,,,,"KCNK3",,,,,,,,,,,,,,,,,
,,,,,,,,,,"GCKR",,,,,,,,,,,,,,,,,
,,,,,,,,,,"PRKCE",,,,,,,,,,,,,,,,,
,,,,,,,,,,"USP35",,,,,,,,,,,,,,,,,
,,,,,,,,,,"POLR1A",,,,,,,,,,,,,,,,,
,,,,,,,,,,"FGD5",,,,,,,,,,,,,,,,,
,,,,,,,,,,"CDC25A",,,,,,,,,,,,,,,,,
,,,,,,,,,,"CACNA1D",,,,,,,,,,,,,,,,,
,,,,,,,,,,"CHDH",,,,,,,,,,,,,,,,,
,,,,,,,,,,"RUVBL1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"RYK",,,,,,,,,,,,,,,,,
,,,,,,,,,,"PCCB",,,,,,,,,,,,,,,,,
,,,,,,,,,,"KPNA4",,,,,,,,,,,,,,,,,
,,,,,,,,,,"FGF5",,,,,,,,,,,,,,,,,
,,,,,,,,,,"ADH1B",,,,,,,,,,,,,,,,,
,,,,,,,,,,"ENPEP",,,,,,,,,,,,,,,,,
,,,,,,,,,,"PCDH18",,,,,,,,,,,,,,,,,
,,,,,,,,,,"USP38",,,,,,,,,,,,,,,,,
,,,,,,,,,,"GUCY1A1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"NPR3",,,,,,,,,,,,,,,,,
,,,,,,,,,,"CERT1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"HMGCR",,,,,,,,,,,,,,,,,
,,,,,,,,,,"PRDM6",,,,,,,,,,,,,,,,,
,,,,,,,,,,"FBN2",,,,,,,,,,,,,,,,,
,,,,,,,,,,"GMDS",,,,,,,,,,,,,,,,,
,,,,,,,,,,"CDKAL1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"VEGFA",,,,,,,,,,,,,,,,,
,,,,,,,,,,"CYB5B",,,,,,,,,,,,,,,,,
,,,,,,,,,,"DPEP1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"NMT1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"USP36",,,,,,,,,,,,,,,,,
,,,,,,,,,,"YES1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"UHRF1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"INSR",,,,,,,,,,,,,,,,,
,,,,,,,,,,"S1PR2",,,,,,,,,,,,,,,,,
,,,,,,,,,,"DNMT1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"LDLR",,,,,,,,,,,,,,,,,
,,,,,,,,,,"RGL3",,,,,,,,,,,,,,,,,
,,,,,,,,,,"MYO9B",,,,,,,,,,,,,,,,,
,,,,,,,,,,"CRTC1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"APOE",,,,,,,,,,,,,,,,,
,,,,,,,,,,"FUT2",,,,,,,,,,,,,,,,,
,,,,,,,,,,"PLCB1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"PREX1",,,,,,,,,,,,,,,,,
,,,,,,,,,,"NFATC2",,,,,,,,,,,,,,,,,
,,,,,,,,,,"CLCN6",,,,,,,,,,,,,,,,,
,,,,,,,,,,"EPHA2",,,,,,,,,,,,,,,,,
,,,,,,,,,,"ZDHHC18",,,,,,,,,,,,,,,,,
,,,,,,,,,,"PCSK9",,,,,,,,,,,,,,,,,
,,,,,,,,,,"PLPP3",,,,,,,,,,,,,,,,,
,,,,,,,,,,"DOCK7",,,,,,,,,,,,,,,,,
